Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD)
"0x2b0fe4000dd86e1a6866dbb6b040ab8eead44dd5bb7a7547c3717b00b53e40c8","Success","Transfer","21316172","2024-12-02 16:59:47","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x776d2FE09B6FBaA66D1e4AE72B2BcB08E4592f46","","181.818181","$181.82",""
"0x0ea0b35f4d3dbe0cd07f0573ef84730e90ba35e00aabe81c70058e8f9d2057ad","Success","Transfer","21316157","2024-12-02 16:56:47","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0xA2A184BbAa43fD49e781C51f5748A0a9FfbbeDD8","Binance Dep: 0xA2A184BbAa43fD49e781C51f5748A0a9FfbbeDD8","1,931.82","$1,931.80",""
"0xf3d4c4dfd2fdd719ca6e811e5beec756d63556a8b3f190b53150f38a54bcc82d","Success","Transfer","21316131","2024-12-02 16:51:35","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0xCbB72aF70E187866B952A23B41Bb5Badcf401932","Binance Dep: 0xCbB72aF70E187866B952A23B41Bb5Badcf401932","400","$400.00",""
"0x83104c8bcc554cae50d55c67d5557210acdd6b0547e75eef81ceee0c93f73bfd","Success","Transfer","21316118","2024-12-02 16:48:59","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x294306d70a07F4E3829f326E746df9155F4c3077","","400","$400.00",""
"0xe714cbe55b7275f925f4a966587b7203f6f1a015205a34c1d1c585310ed4686f","Success","Transfer","21293586","2024-11-29 13:15:59","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x8eDa5F662646Abad982406dbd0E1e20509bf3C40","","1,618","$1,617.98",""
"0x35559144b1d36c31a5cf274883ef4f0ab9237d84b3c267b8e80fad3e386bf929","Success","Transfer","21207228","2024-11-17 11:48:35","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0xA078445585CC95d6865ccAD0B0589dBc2f6008f2","","10,800","$10,799.88",""
"0x0e2ca8f50478aaace4e6356b69dcc7c5874812ea7d92855879926e80b8d6712f","Success","Transfer","21196195","2024-11-15 22:52:35","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0xe2165a834F93C39483123Ac31533780b9c679ed4","divey.eth","200.083635","$200.08",""
"0x7d4d27169bf6c55a7dd5eca057e69277a4f1c6d2dc2e151744919ac87afc9f6e","Success","Exec Transaction","21181127","2024-11-13 20:21:47","0xdb8a44358095014e9633DF209E917D2E31892EbB","","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","20,000","$19,999.78",""
"0xbb4d4803469c8c282aecbe70b173b0c61c86f4dffcf7aeaafc3f0e11d8e77dbc","Success","Transfer","21153082","2024-11-09 22:27:59","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x89f2B744771f6859E64D22Ad435826140dD4Fd7d","","2,195.311734","$2,195.29",""
"0x0b5c2027af6de7cd57e6c7abe9fe068b49b9e71a3322b75dfa8826de18a9c046","Success","Transfer","21152922","2024-11-09 21:55:59","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x0db6e0fE1269F7755815C5C2CB3513285E42316a","","1,105.109406","$1,105.10",""
"0x686e836bbebe1957aa7dffca79460097db3dff9daeb84663e5ee87af0f5a812a","Success","Transfer","21103604","2024-11-03 00:42:35","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x699E285BaEaB9AF1947917581E5f4B65C13ca636","","3,400.537285","$3,400.50",""
"0xb32b44584a37a4356c02c1c3d902bc1e0d5051e916a9758177ec70d236eddec9","Success","Transfer","21096385","2024-11-02 00:29:35","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x971fAF7dcfCE8267F370b675903bcF8F74b5EE93","","3,896.103896","$3,896.06",""
"0xa640cea907b5b2b6fe228fc3fb263d8f087b08d4ec51e8865575f38ebbf27fc2","Success","Transfer","21093267","2024-11-01 14:02:59","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0xCbB72aF70E187866B952A23B41Bb5Badcf401932","Binance Dep: 0xCbB72aF70E187866B952A23B41Bb5Badcf401932","500","$499.99",""
"0x1309ad86f371bdf85476d7f04eb1ede77790e12cd489c56a18195a4e7202c2e3","Success","Transfer","21093257","2024-11-01 14:00:59","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x294306d70a07F4E3829f326E746df9155F4c3077","","300","$300.00",""
"0x2371e6014b362027d8b26ecf01a5769df90472148631f969ff7d0c6a3abbd090","Success","Transfer","21093238","2024-11-01 13:57:11","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x776d2FE09B6FBaA66D1e4AE72B2BcB08E4592f46","","400","$400.00",""
"0x0e912b4d4a45bd76c38e25fabfe4684602c4c2cbc75b39f700dd31748a125c23","Success","Transfer","21093232","2024-11-01 13:55:59","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x5179108aC002cEd50aD55088De295cDc2Ff9F575","Binance Dep: 0x5179108aC002cEd50aD55088De295cDc2Ff9F575","200","$200.00",""
"0x159f4b0c17edecf5b61800e085d0e6b558c94f2e0c194abfd6b03c68ff048d78","Success","Transfer","21093211","2024-11-01 13:51:47","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0xd85C3a139a0533F46c84EAf5647b9a8bEfCb2BbC","ByBit Dep: 0xd85C3a139a0533F46c84EAf5647b9a8bEfCb2BbC","700","$699.99",""
"0xdc08cb43c14ee29c3c4628864bae4d3cfc9c09bb6f4efc15c6d707b0dbd6df62","Success","Transfer","21093196","2024-11-01 13:48:47","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x5Af6c1dA6E54F301619B347a3a55c1f137284fC7","Binance Dep: 0x5Af6c1dA6E54F301619B347a3a55c1f137284fC7","1,700","$1,699.98",""
"0xbe0646dcb7fa53b3966efb287680d46d52ab25340b35126d7bc02ba6a7fea35e","Success","Transfer","21093140","2024-11-01 13:37:23","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x96afe52b52FE22a9333A9f16f96d7a39d1703650","Binance Dep: 0x96afe52b52FE22a9333A9f16f96d7a39d1703650","600","$599.99",""
"0xc4baec352818a8585c221105c4a18683b210b63346e0b21472704c3e788abee4","Success","Transfer","21092879","2024-11-01 12:44:47","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x3d2c783CE9f8B193e7886cE2A2c74cA71e095B9c","Binance Dep: 0x3d2c783CE9f8B193e7886cE2A2c74cA71e095B9c","1,750","$1,749.98",""
"0x7c387b48125278285b92fa9bc07848645e3c0882c485d0b3dbac3cc123b76ddb","Success","Transfer","21092671","2024-11-01 12:03:11","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0xA2A184BbAa43fD49e781C51f5748A0a9FfbbeDD8","Binance Dep: 0xA2A184BbAa43fD49e781C51f5748A0a9FfbbeDD8","1,750","$1,749.98",""
"0xaae985e86dccdcfb4521fa2b81619495c0e2eeecf0204322c2b8c9a4bf08981e","Success","Transfer","21071421","2024-10-29 12:54:35","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0x4d4959EEF483C826041428f6C083B63215ac68b7","","3,902.368738","$3,902.33",""
"0x20dd33096a488142244e1f262965c24eeec67e79a92c6755217f1d24cdd078fa","Success","Transfer","21030956","2024-10-23 21:23:23","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0xC858d38DdCfc635eB08449a592D3C474fCf201eC","","2,251.860036","$2,251.84",""
"0xada08297d20e0bbf7a29b0c2c563e922bcaa3153ae96d2134369d2dca54baee2","Success","Exec Transaction","21014858","2024-10-21 15:29:35","0xdb8a44358095014e9633DF209E917D2E31892EbB","","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","20,000","$19,999.78",""
"0x49c70702ab3e2b6a9601d5f95e471e101aa29ebf0a4712b69cf37697d90d9757","Success","Transfer","20950274","2024-10-12 15:00:11","0xA01C2D2184A8f07B2556d6013d120E63f17F157b","","0xd5d4566e4C8727f04D432A0a10aF70964343C84F","","2,850","$2,849.97",""